AS_events	E2F Targets	G2M Checkpoint	Mitotic Spindle	Oxidative Phosphorylation	Myc Targets V2	Mtorc1 Signaling	DNA Repair	Estrogen Response Late	Androgen Response	Glycolysis	Unfolded Protein Response	Myogenesis	Adipogenesis	Myc Targets V1	Hedgehog Signaling	Spermatogenesis	Estrogen Response Early	Heme Metabolism	Coagulation	UV Response Dn	Interferon Alpha Response	Hypoxia	Apical Junction	Bile Acid Metabolism	Apoptosis	Complement	Protein Secretion	UV Response Up	KRAS Signaling Up	Notch Signaling	Epithelial Mesenchymal Transition	Angiogenesis	TGB Beta Signaling	KRAS Signaling Dn	Xenobiotic Metabolism	P53 Pathway	Inflammatory Response	Wnt Beta Catenin Signaling	Allograft Rejection	Peroxisome	TNFa Signaling Via NFkB	Fatty Acid Metabolism	Pancreas Beta Cells	Apical Surface	IL6 JAK STAT3 Signaling	Interferon Gamma Response	IL2 STAT5 Signaling	PI3K AKT mTOR Signaling	Reactive Oxigen Species Pathway	Cholesterol Homeostasis
EXOSC1_chr10_-_99198419_99198460_99197507_99200927	NaN	0.325438703	NaN	NaN	0.358515382	NaN	0.347813505	0.320563726	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.307709569	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
RCOR3_chr1_+_211486061_211486303_211477482_211486765	NaN	NaN	NaN	-0.329686083	NaN	NaN	-0.375390397	-0.448001814	-0.481371495	NaN	-0.389294926	NaN	NaN	NaN	-0.328960096	NaN	-0.366667597	NaN	NaN	NaN	-0.34363342	NaN	NaN	NaN	NaN	NaN	-0.415405924	NaN	-0.318649595	NaN	NaN	NaN	-0.40813174	NaN	NaN	-0.300441691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CTTN_chr11_+_70268614_70268737_70266616_70269045	-0.565309427	-0.600755615	-0.522812419	NaN	-0.506651389	-0.486758176	-0.477264477	NaN	NaN	-0.344686698	-0.314819313	0.351112719	NaN	-0.355131527	-0.337111454	NaN	NaN	NaN	NaN	NaN	-0.331826398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
STAU2_chr8_-_74621266_74621397_74601048_74659017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35258785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.332494624	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MYL6_chr12_+_56556346_56556423_56556115_56556638	-0.307449487	NaN	-0.325660966	NaN	NaN	-0.307091228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.33549312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TPM1_chr15_+_63353396_63353472_63353138_63353911	0.635781358	0.591953193	0.596710082	-0.434110101	0.372661824	0.374374893	NaN	-0.489629062	-0.381275046	NaN	NaN	-0.565709299	-0.709626146	0.363328305	NaN	NaN	-0.566249533	NaN	NaN	-0.475034748	NaN	-0.586825184	-0.555572469	NaN	-0.474514891	NaN	NaN	-0.302827027	-0.379334289	-0.512494952	-0.492471154	NaN	-0.378888218	NaN	NaN	-0.464083158	NaN	-0.449227789	NaN	NaN	-0.356457398	-0.377868896	NaN	-0.452955985	NaN	NaN	NaN	-0.33327506	NaN	NaN
IGFN1_chr1_+_201193806_201194002_201187786_201194951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.578141155	NaN	NaN	0.550519978	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.57645274	NaN	0.608630341	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SRSF4_chr1_-_29492401_29492576_29487029_29508157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.345673565	NaN	-0.368403913	NaN	NaN	NaN	NaN	NaN	-0.317692998	-0.333492157	NaN	NaN	NaN	NaN	-0.327707535	-0.306552136	NaN	NaN	NaN	NaN	-0.423997549	NaN	NaN	-0.30862498	NaN	NaN	-0.366732246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PSMA3-AS1_chr14_-_58752308_58752474_58734111_58758352	NaN	NaN	NaN	-0.320976953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.342787591	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CBWD1_chr9_-_151304_151427_146158_152033	-0.379480369	-0.39708664	-0.364824742	-0.346798047	-0.467877223	-0.398070876	-0.505127657	-0.366526571	NaN	-0.423419193	-0.393333106	NaN	NaN	-0.355996779	-0.364610998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.303966745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ACIN1_chr14_-_23536522_23537880_23535217_23538684	-0.564612388	-0.595263144	-0.534901522	NaN	-0.53370723	-0.520987174	-0.527361461	NaN	NaN	-0.410207735	-0.336349864	NaN	NaN	-0.343870201	-0.40252203	NaN	NaN	NaN	NaN	NaN	-0.327246443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
BAZ2B_chr2_-_160253584_160253611_160252345_160253855	NaN	NaN	NaN	NaN	-0.326435059	NaN	NaN	NaN	NaN	NaN	NaN	0.303012476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.352968881	NaN
CLSTN1_chr1_-_9816538_9816568_9815367_9833329	-0.490782217	-0.509931966	-0.426589608	NaN	-0.44844733	-0.334840494	NaN	NaN	NaN	NaN	NaN	0.492131788	0.353088332	-0.30654491	NaN	NaN	NaN	NaN	NaN	0.353344993	NaN	0.341658881	0.329542516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.329552813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NAPG_chr18_+_10534462_10534493_10526155_10539758	-0.516475148	-0.50544209	-0.485787403	0.536332553	NaN	NaN	NaN	0.508359627	0.582536965	NaN	NaN	0.362235711	0.498019275	-0.353623951	NaN	NaN	0.5221301	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.447777146	NaN	NaN	NaN	NaN	0.481063333	NaN	NaN	NaN	0.416775895	NaN	0.420007157	NaN	0.532938078	0.465845186	NaN	NaN	0.544850453	-0.431773914	0.46809641	NaN	NaN	NaN	NaN	NaN	NaN
HOOK2_chr19_-_12876642_12876648_12876538_12876740	NaN	NaN	NaN	-0.318781383	NaN	NaN	NaN	-0.368470833	-0.455524404	NaN	NaN	NaN	-0.35849738	NaN	NaN	NaN	-0.380523953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.357771904	NaN	NaN	NaN	NaN	-0.3710859	NaN	NaN	NaN	NaN	NaN	-0.319265511	NaN	-0.308745871	NaN	NaN	-0.311087354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
LMAN2L_chr2_-_97399255_97399338_97377762_97400145	0.362040913	0.383109744	0.331780463	NaN	0.397612398	0.33991363	0.377809105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.335107902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PRMT1_chr19_+_50183128_50183182_50180573_50183743	NaN	NaN	NaN	NaN	NaN	NaN	-0.300401151	-0.346652469	NaN	-0.326543718	NaN	NaN	NaN	NaN	-0.317910925	NaN	-0.305184889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.327880549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARIH2_chr3_+_48982414_48982614_48956431_48999044	-0.353280532	NaN	NaN	NaN	NaN	-0.409768211	-0.317707396	NaN	NaN	NaN	-0.303744979	NaN	NaN	-0.334281956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
DCAF10_chr9_+_37857237_37857348_37854979_37860044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.302975039	0.411933901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ZNF263_chr16_+_3335058_3335239_3334205_3336022	-0.323332289	-0.322330879	-0.312412261	NaN	-0.369956388	-0.322375798	-0.301524022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
FCGRT_chr19_+_50024951_50025070_50016730_50027763	-0.396875093	-0.374727186	-0.358982191	NaN	-0.308159368	-0.305390674	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.316843474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TNS1_chr2_-_218695089_218695113_218686661_218696177	-0.464203722	-0.415862924	-0.457897051	0.576121045	NaN	-0.304378695	NaN	0.454182334	0.379858901	NaN	NaN	0.320629079	0.503034417	NaN	NaN	NaN	0.399501722	-0.334964372	-0.326737523	NaN	NaN	0.308066525	NaN	NaN	0.322192554	NaN	NaN	NaN	NaN	0.303079425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TMEM222_chr1_+_27657475_27657628_27657295_27658560	NaN	NaN	NaN	-0.333261183	-0.412012259	NaN	-0.440616634	-0.495110113	-0.316054672	-0.396836413	-0.396253921	NaN	NaN	NaN	-0.39496758	NaN	-0.38415855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.357263477	-0.346131285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.314900578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
USP3_chr15_+_63826001_63826117_63824906_63829223	-0.304915836	-0.312360151	NaN	NaN	-0.347976016	-0.335387151	-0.353177227	NaN	NaN	-0.327446599	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MBNL1_chr3_+_152164492_152164546_152163328_152165408	0.454992279	0.446209678	0.398323418	NaN	0.399786234	NaN	NaN	NaN	NaN	NaN	NaN	-0.451164981	-0.49529998	0.345426142	NaN	NaN	NaN	NaN	NaN	-0.429641305	NaN	-0.392174012	-0.405918947	NaN	-0.316797791	NaN	NaN	NaN	NaN	-0.337752467	-0.3574211	NaN	NaN	NaN	NaN	NaN	NaN	-0.356489022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.338517973	-0.387143605	-0.348083646	NaN
ABCD4_chr14_-_74759856_74759951_74759572_74761850	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.305404673	0.327041049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PIGB_chr15_+_55642896_55643110_55634000_55646995	NaN	NaN	NaN	0.388232789	0.310515958	NaN	NaN	0.362932632	0.446863369	NaN	0.362404728	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ALAS2_chrX_-_55054183_55054290_55052448_55057374	NaN	NaN	NaN	0.373122563	NaN	NaN	NaN	NaN	0.324814515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
DROSHA_chr5_-_31531556_31531632_31529212_31532096	-0.326729853	-0.345574257	-0.361193873	0.486289214	NaN	NaN	NaN	NaN	NaN	-0.35486865	NaN	NaN	NaN	NaN	NaN	-0.511455341	NaN	-0.522888508	-0.369076863	NaN	NaN	NaN	NaN	-0.414478278	NaN	-0.468076172	NaN	NaN	NaN	NaN	NaN	-0.358002727	NaN	-0.40200073	-0.316840325	NaN	-0.414326343	NaN	-0.37871582	NaN	NaN	NaN	NaN	NaN	-0.308529967	NaN	-0.380846157	NaN	NaN	NaN
NADK_chr1_-_1688177_1688321_1688047_1688619	NaN	NaN	NaN	-0.430740832	-0.305676835	NaN	-0.454679238	-0.38934229	-0.381823022	NaN	-0.414112676	NaN	-0.335154225	NaN	NaN	NaN	-0.315127881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.361900728	-0.321666279	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.301052376	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PIGT_chr20_+_44047411_44047619_44045334_44047934	NaN	NaN	NaN	0.40157136	NaN	NaN	NaN	0.374267397	NaN	NaN	0.364263332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NMRAL1_chr16_-_4521314_4521450_4519699_4524093	NaN	NaN	NaN	-0.445394846	NaN	NaN	NaN	-0.310482907	-0.324131306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
INSR_chr19_-_7150507_7150543_7143101_7152736	-0.336607309	-0.329744027	-0.308073735	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
METTL22_chr16_+_8738413_8738582_8736422_8739964	0.36784273	0.363934544	0.361516145	NaN	0.329766593	NaN	NaN	NaN	NaN	NaN	NaN	-0.324887781	-0.308135846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
BTBD3_chr20_+_11898425_11898659_11871602_11898981	-0.333639698	-0.325039367	-0.31363388	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
LUC7L_chr16_-_258599_258663_258187_270647	-0.423472142	-0.434409638	-0.421561267	NaN	-0.4319018	-0.466347949	-0.365491262	NaN	NaN	-0.39599221	NaN	NaN	NaN	NaN	-0.348553635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
FAM189B_chr1_-_155224190_155224247_155223523_155224443	NaN	NaN	NaN	0.338118052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.341352641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARMCX2_chrX_-_100914404_100914487_100913128_100914742	0.454427982	0.460839651	0.402321348	0.325481438	0.408122642	0.412181774	0.419599935	0.389820577	0.318965048	NaN	0.391437147	-0.39717583	NaN	0.391174903	0.335025839	NaN	NaN	NaN	NaN	NaN	0.307364085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CASP6_chr4_-_110617565_110617642_110615856_110618777	0.369818673	0.389054209	0.326782637	NaN	0.394386707	0.343279677	0.39296733	NaN	NaN	NaN	0.330690439	NaN	NaN	0.337707039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
IQCB1_chr3_-_121507130_121507279_121500721_121508919	NaN	NaN	NaN	NaN	0.312671916	NaN	0.353357156	0.478175721	0.398777293	0.30762813	0.323750703	NaN	NaN	NaN	0.343381587	NaN	0.388140547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.329157838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
COQ5_chr12_-_120964259_120964349_120960166_120966742	-0.56894979	-0.597903798	-0.548299602	NaN	-0.571401415	-0.536803562	-0.541774816	NaN	NaN	-0.408928805	-0.347264436	NaN	NaN	-0.338785987	-0.366846474	NaN	NaN	NaN	NaN	NaN	-0.302591812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TRAK2_chr2_-_202265740_202265817_202264216_202272125	0.395799795	0.410530064	0.378811424	NaN	0.398294438	0.323095604	0.346784704	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.314371841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TRA2A_chr7_-_23570799_23570889_23562051_23571407	0.377498498	0.354607903	0.346188595	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI4KB_chr1_-_151298647_151298849_151297393_151299746	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.337435208	NaN	NaN	NaN	NaN	-0.331581782	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CAMK1_chr3_-_9802339_9802452_9801434_9803144	NaN	NaN	NaN	0.465490111	NaN	NaN	NaN	0.426566012	0.306866702	NaN	0.364872698	NaN	0.418237465	NaN	NaN	NaN	0.36908904	NaN	NaN	NaN	0.317182996	NaN	NaN	NaN	0.448833144	NaN	0.389262336	0.337647952	0.36400923	0.314535294	0.335368843	NaN	0.370001813	NaN	NaN	0.362284346	NaN	NaN	NaN	NaN	0.373940806	0.307664063	NaN	NaN	0.315506297	NaN	NaN	NaN	NaN	NaN
BRE_chr2_+_28550140_28550314_28521358_28561316	-0.330741998	-0.363852815	-0.313921697	NaN	-0.343078784	-0.304013838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PRC1_chr15_-_91512308_91512350_91510432_91512676	-0.330200592	-0.3266747	-0.307171861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SVIL_chr10_-_29815889_29815985_29813644_29819535	NaN	NaN	NaN	0.519871174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.312242945	NaN	NaN	-0.404047049	NaN	-0.416537457	-0.394488388	NaN	NaN	NaN	NaN	-0.36280906	NaN	-0.303318572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.357380124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
RRBP1_chr20_-_17660643_17660720_17641173_17662672	-0.40568664	-0.38892656	-0.437606397	0.449450999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.301336452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SLC38A10_chr17_-_79223869_79223893_79220861_79225292	-0.328683117	-0.349511929	-0.313108463	NaN	-0.428984298	NaN	-0.309435338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ZNHIT3_chr17_+_34842778_34842810_34842629_34848656	NaN	NaN	NaN	NaN	0.336846959	NaN	0.335432676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TM2D1_chr1_-_62152463_62152567_62149218_62160368	-0.324456847	NaN	-0.337589932	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.307099306	NaN	-0.307619742	-0.351769532	NaN	NaN	NaN	NaN	-0.3271135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
GTPBP10_chr7_+_89984399_89984544_89983863_90001468	0.307265953	0.32255706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
C11orf80_chr11_+_66590034_66590145_66583670_66595736	NaN	NaN	NaN	0.423938663	NaN	NaN	0.360343936	0.453962093	0.407624251	NaN	0.333775271	NaN	NaN	NaN	NaN	NaN	0.369995929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
